id(unique),問題(str),解答(str),画像(none)
1,通天閣や道頓堀を有する関西の大都市は______である。,大阪市,none
2,神戸市は______県に位置している。,兵庫県,none
3,古都として名高く、金閣寺や清水寺がある都市は______である。,京都市,none
4,奈良市にある大仏で有名な寺院は______である。,東大寺,none
5,有馬温泉があることで知られる県は______である。,兵庫県,none
6,大阪の粉もん料理といえば、キャベツや豚肉を鉄板で焼く______である。,お好み焼き,none
7,奈良の名所で、鹿が自由に歩く公園は______である。,奈良公園,none
8,神戸の企業が生み出したかりんとう風味の米菓は______と呼ばれる。,鶯ボール,none
9,大阪の___はコリアンタウンとして有名である。,鶴橋,none
10,三重県英虞湾にある有人島で、先進国首脳会議が行われた場所は______である。,賢島,none
11,和歌山の動物園でパンダが飼育されている施設は______である。,アドベンチャーワールド,none
12,関西弁で『モータープール』といえば、実は______である。,駐車場,none
13,奈良に位置し、日本最古の木造建築とされる寺院は______である。,法隆寺,none
14,大阪を中心に発展した伝統芸能、人形浄瑠璃は______と呼ばれる。,文楽,none
15,兵庫県の淡路島は、特産の玉ねぎで有名で、______海に面している。,瀬戸内海,none
16,京都で夏に開催される伝統的なお祭りは、______として知られる。,祇園祭,none
17,神戸の夜景スポットとして有名な山は、______山である。,六甲山,none
18,大阪北区にそびえる空中庭園展望台がある高層ビルは______である。,梅田スカイビル,none
19,堺市の伝統工芸、刃物の代表格は______である。,堺包丁,none
20,天理市の本拠地として知られる宗教は______である。,天理教,none
21,滋賀県にある、日本最大の湖は______である。,琵琶湖,none
22,和歌山県の南部に位置し、世界遺産にも登録されている巡礼路は______である。,熊野古道,none
23,兵庫県姫路市にあり、白鷺城の別名を持つ城は______である。,姫路城,none
24,京都市の伝統的な花街で、舞妓や芸妓が活躍する場所は______である。,祇園,none
25,大阪市の中心部を流れ、桜の名所として知られる川は______である。,大川,none
26,奈良県の伝統工芸品で、赤膚焼（あかはだやき）と呼ばれる陶器は______である。,奈良市,none
27,滋賀県の名産品で、鮒を使った郷土料理は______である。,鮒寿司,none
28,和歌山県で生産量日本一を誇る果物は______である。,梅,none
29,兵庫県の淡路島と徳島県を結ぶ大鳴門橋が架かる海峡は______である。,鳴門海峡,none
30,京都市の夏の風物詩で、五山の送り火が行われるのは______である。,大文字山,none
31,大阪市の繁華街で、グリコのネオン看板がある場所は______である。,道頓堀,none
32,奈良県の伝統行事で、春日大社で行われる万灯籠の祭りは______である。,春日若宮おん祭,none
33,滋賀県の彦根市で、ゆるキャラ「ひこにゃん」のモデルとなった城は______である。,彦根城,none
34,和歌山県の高野山にある、真言宗の総本山は______である。,金剛峯寺,none
35,兵庫県の神戸市で、異国情緒あふれる観光スポットとして知られる場所は______である。,北野異人館街,none
36,京都市の嵐山にある、竹林の小径で有名な寺院は______である。,天龍寺,none
37,大阪府堺市で生産される、伝統的な刃物は______である。,堺刃物,none
38,奈良県の吉野山は春に咲く___の名所として有名である。,桜,none
39,滋賀県の長浜市で、毎年4月に開催される曳山祭りは______である。,長浜曳山祭,none
40,和歌山県の白浜町にある、パンダの飼育で有名な施設は______である。,アドベンチャーワールド,none
